model,Accuracy,F1,Recall,Precision
Logistic Regression,99.960938,99.965236,99.947862,99.982615
Multinomial NB,77.001953,81.548225,74.226216,90.472879
SVC,56.171875,71.935968,56.171875,100.0
Random Forest,59.853516,72.70796,58.812158,95.201669
SGD,72.197266,77.053276,71.825695,83.10153
Ensemble,90.888672,92.34053,87.478613,97.774687
